Row No,Entity Name,Field Name,Description,API / CSV
265,FUNDING_ROUNDS,short_description,Short description of the Funding Round,API & CSV
266,FUNDING_ROUNDS,target_money_raised,Amount of money the funded Organization would like to raised in the Funding Round,API & CSV
267,FUNDING_ROUNDS,updated_at,,API & CSV
268,FUNDING_ROUNDS,uuid,,API & CSV
269,GROWTH_INSIGHTS,created_at,,API & CSV
270,GROWTH_INSIGHTS,customers,Fluctuations in the number of customers or users,API & CSV
271,GROWTH_INSIGHTS,description,A concise text statement highlighting the company's growth trajectory,API & CSV
272,GROWTH_INSIGHTS,engagement,"Changes in product engagement levels, including increases or decreases in website traffic, app downloads, and user activity",API & CSV
273,GROWTH_INSIGHTS,entity_def_id,Growth Insight,API & CSV
274,GROWTH_INSIGHTS,finance,"Changes in key financial metrics including revenue, sales, earnings, profit margins, dividends, return on investment, stock performance, and commercial contracts",API & CSV
275,GROWTH_INSIGHTS,funding_raised,"Activities related to financial investments, including receiving funding or making strategic investments into other organizations",API & CSV
276,GROWTH_INSIGHTS,generated_on,Date on which this insight was generated,API & CSV
277,GROWTH_INSIGHTS,growth_confidence,Assessment of the reliability and accuracy of the provided data,API & CSV
278,GROWTH_INSIGHTS,growth_direction,Direction of the company's growth trajectory,API & CSV
279,GROWTH_INSIGHTS,headcount,"Variations in employee numbers, including hiring sprees, layoffs, workforce expansions, and reductions",API & CSV
280,GROWTH_INSIGHTS,identifier,Name of the Growth Insight,API & CSV
281,GROWTH_INSIGHTS,market_share,"Changes in the company's market share, including growth through new market entries and decline due to market exits",API & CSV
282,GROWTH_INSIGHTS,mergers_acquisitions,"Business consolidations involving mergers, acquisitions, or divestitures",API & CSV
283,GROWTH_INSIGHTS,operations,"Modifications in operational footprints, including acquisitions or reductions of facilities, and regional expansions or contractions",API & CSV
284,GROWTH_INSIGHTS,organization,Unique identifier for the organization associated with this growth insight,API & CSV
285,GROWTH_INSIGHTS,outbound_investment,Records the company's financial investments into external entities or projects,API & CSV
286,GROWTH_INSIGHTS,press_references,A list of the press references used to construct this growth insight,API & CSV
287,GROWTH_INSIGHTS,updated_at,,API & CSV
288,GROWTH_INSIGHTS,uuid,,API & CSV
289,GROWTH_PREDICTIONS,awards,Awards,API & CSV
290,GROWTH_PREDICTIONS,created_at,Time of Creation,API & CSV
291,GROWTH_PREDICTIONS,entity_def_id,Growth Prediction,API & CSV
292,GROWTH_PREDICTIONS,example_funding_round,An example of a similar company in the same industry that had a Funding Round in the last 6 months,API & CSV
293,GROWTH_PREDICTIONS,generated_on,Date on which this Growth Prediction was generated,API & CSV
294,GROWTH_PREDICTIONS,growth_insight,The Growth Insight linked to this Growth Prediction.,API & CSV
295,GROWTH_PREDICTIONS,identifier,Growth Prediction Title,API & CSV
296,GROWTH_PREDICTIONS,key_employee_changes,"There has been a change to the executive team's composition (hire, departure, or promotion)",API & CSV
297,GROWTH_PREDICTIONS,key_leadership_hires,A new C-level Officer (CXO) was hired in the last 12 months,API & CSV
298,GROWTH_PREDICTIONS,layoffs,Layoffs,API & CSV
299,GROWTH_PREDICTIONS,legal_proceedings,"Proceedings relating to law, regulation, or compliance",API & CSV
300,GROWTH_PREDICTIONS,new_offices,New Offices,API & CSV
301,GROWTH_PREDICTIONS,organization,Unique identifier for the organization associated with this growth prediction,API & CSV
302,GROWTH_PREDICTIONS,partnership_announcements,A new strategic partnership occurred in the last 12 months,API & CSV
303,GROWTH_PREDICTIONS,probability_score,The predicted probability that this organization will exhibit growth,API & CSV
304,GROWTH_PREDICTIONS,probability_tier,"The predicted probability of this organization growing, divided into distinct tiers that quantify the likelihood.",API & CSV
305,GROWTH_PREDICTIONS,product_launches,A new product or service was launched in the last 12 months,API & CSV
306,GROWTH_PREDICTIONS,runway_speculation,"Approaching 18-24+ months since the last funding round, the need for capital may be more probable.",API & CSV
307,GROWTH_PREDICTIONS,similar_company_acquired,Similar Company Acquired,API & CSV
308,GROWTH_PREDICTIONS,similar_company_went_public,Similar Company Went Public,API & CSV
309,GROWTH_PREDICTIONS,unicorn_status,Achieved unicorn status in the last 12 months,API & CSV
310,GROWTH_PREDICTIONS,updated_at,Time of Update,API & CSV
311,GROWTH_PREDICTIONS,uuid,UUID,API & CSV
312,INVESTMENTS,announced_on,Date when the Investment is announced,API & CSV
313,INVESTMENTS,created_at,,API & CSV
314,INVESTMENTS,entity_def_id,,API & CSV
315,INVESTMENTS,funding_round_identifier,Name of the funding round where the Investment is made,API & CSV
316,INVESTMENTS,funding_round_investment_type,"Type of Funding Round where the Investment is made (e.g. Seed, Series A, Private Equity, Debt Financing)",API & CSV
317,INVESTMENTS,funding_round_money_raised,Amount of money raised in Funding Round,API & CSV
318,INVESTMENTS,identifier,Name of the Investment,API & CSV
319,INVESTMENTS,investor_identifier,Name of the investor who participated in the Investment,API & CSV
320,INVESTMENTS,investor_stage,"This describes the stage of investor this organization or person is (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
321,INVESTMENTS,investor_type,"This describes the type of investor this organization or person is (e.g. Angel, Fund of Funds, Venture Capital)",API & CSV
322,INVESTMENTS,is_lead_investor,This field indicates whether an investor led/organized the investment,API & CSV
323,INVESTMENTS,money_invested,Amount of money an Investor contributed into an investment,API & CSV
324,INVESTMENTS,name,,API & CSV
325,INVESTMENTS,organization_diversity_spotlights,"Types of diversity represented in an organization, specifically of those who are founding members, currently the CEO, or have check-writing abilities in an investment firm. This feature is in beta and may change with future updates.",API & CSV
326,INVESTMENTS,organization_identifier,Name of the organization that received the investment,API & CSV
327,INVESTMENTS,partner_identifiers,Name of the individual who led a funding round for his/her firm,API & CSV
328,INVESTMENTS,permalink,,API & CSV
329,INVESTMENTS,updated_at,,API & CSV
330,INVESTMENTS,uuid,,API & CSV
331,INVESTOR_INSIGHTS,associated_investments_since,Associated investments since,API & CSV
332,INVESTOR_INSIGHTS,categories,Investment categories,API & CSV
333,INVESTOR_INSIGHTS,created_at,,API & CSV
334,INVESTOR_INSIGHTS,description,A concise text statement highlighting the investor insight,API & CSV
335,INVESTOR_INSIGHTS,diversity_investments,Diversity investments,API & CSV
336,INVESTOR_INSIGHTS,entity_def_id,Investor Insight,API & CSV
337,INVESTOR_INSIGHTS,exit_success_rate,Exit success rate,API & CSV
338,INVESTOR_INSIGHTS,generated_on,Date on which this insight was generated,API & CSV
339,INVESTOR_INSIGHTS,identifier,Name of the Investor Insight,API & CSV
340,INVESTOR_INSIGHTS,investment_funding_stage,Investment funding stage,API & CSV
341,INVESTOR_INSIGHTS,investment_types,Investment types,API & CSV
342,INVESTOR_INSIGHTS,lead_investor_rate,Lead investor rate,API & CSV
343,INVESTOR_INSIGHTS,locations,Investment locations,API & CSV
344,INVESTOR_INSIGHTS,median_investment_size,Median investment size,API & CSV
345,INVESTOR_INSIGHTS,organization,Unique identifier for the organization associated with this investor insight,API & CSV
346,INVESTOR_INSIGHTS,stages,Investment stages,API & CSV
347,INVESTOR_INSIGHTS,updated_at,,API & CSV
348,INVESTOR_INSIGHTS,uuid,,API & CSV
349,INVESTOR_MATCHES,created_at,Time of creation,API & CSV
350,INVESTOR_MATCHES,entity_def_id,Entity Def Type,API & CSV
351,INVESTOR_MATCHES,identifier,Investor Match Title,API & CSV
352,INVESTOR_MATCHES,investor,Unique identifier for the investor associated with this funding prediction,API & CSV
353,INVESTOR_MATCHES,local_rank,Ranking indicating the strength of the investor match,API & CSV
354,INVESTOR_MATCHES,organization,Unique identifier for the organization associated with this investor match,API & CSV
355,INVESTOR_MATCHES,updated_at,Time of Update,API & CSV
356,INVESTOR_MATCHES,uuid,UUID,API & CSV
357,IPOS,amount_raised,Total amount raised from the IPO,API & CSV
358,IPOS,created_at,,API & CSV
359,IPOS,delisted_on,Date when the organization delisted its stock,API & CSV
360,IPOS,entity_def_id,,API & CSV
361,IPOS,facet_ids,,API & CSV
362,IPOS,identifier,"Stock ticker symbol (e.g. AAPL, FB, TWTR)",API & CSV
363,IPOS,image_id,,API & CSV
364,IPOS,organization_identifier,Organization went public,API & CSV
365,IPOS,permalink,,API & CSV
366,IPOS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
367,IPOS,rank_ipo,"Algorithmic rank assigned to the top 100,000 most active IPOs",API & CSV
368,IPOS,sentiment,Sentiment associated with IPO,API & CSV
369,IPOS,share_price,The share price for the stock at the time of IPO,API & CSV
